Station,Route,Lanes,Months Used,Count Date,Direction,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/06/2013,NORTH,111,13299,3133,26,580,295,26,62,198,7,2,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/06/2013,SOUTH,118,15342,3666,30,656,345,28,51,233,10,5,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/05/2013,SOUTH,130,15141,3426,35,599,325,18,58,174,3,1,2,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/05/2013,NORTH,99,12715,3058,20,561,261,49,40,175,10,5,2,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/04/2013,SOUTH,97,13942,3516,31,614,333,21,59,213,6,5,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/04/2013,NORTH,83,12767,3131,32,569,276,31,64,191,5,3,1,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/01/2013,SOUTH,110,17302,3496,29,628,334,14,56,213,6,6,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/01/2013,NORTH,105,15211,3201,22,613,238,22,60,217,4,2,2,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/28/2013,SOUTH,39,15509,3772,35,662,265,14,46,214,5,5,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/28/2013,NORTH,17,12558,2852,29,522,219,16,32,201,11,2,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",06/27/2013,SOUTH,25,15689,3873,61,633,304,10,57,250,17,2,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
